File low-hanging-fruits/emac.ml.tm1.f32.little.5x90x160x320_3.raw.residual.nlzc
ix,unit000,unit001,unit002,unit003,unit004,unit005,unit006,unit007,unit008,unit009,unit010,unit011,unit012,unit013,unit014,unit015,unit016,unit017,unit018,unit019,unit020,unit021,unit022,unit023,unit024,unit025,unit026,unit027,unit028,unit029,unit030,unit031,unit032,unit033,unit034,unit035,unit036,unit037,unit038,unit039,unit040,unit041,unit042,unit043,unit044,unit045,unit046,unit047,unit048,unit049
0,0.03125,0.03125,0,0.03125,0,0.03125,0.03125,0.03125,0,0.03125,0.03125,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0,0.03125,0.03125,0.03125,0,0.03125,0.03125,0,0.03125,0,0.03125,0,0.03125,0.03125,0,0.03125,0.03125,0.03125,0.03125,0.03125,0,0,0,0.03125,0.03125,0.03125,0,0.03125,0.03125,0.03125
1,0.03125,0.0625,0.03125,0.0625,0.03125,0.0625,0.03125,0.0625,0.03125,0.03125,0.03125,0.0625,0.03125,0.0625,0.03125,0.03125,0,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,0.0625,0.03125,0.03125,0.0625,0,0.0625,0,0.0625,0.0625,0,0.0625,0.03125,0.03125,0.0625,0.0625,0,0.03125,0.03125,0.0625,0.0625,0.03125,0.03125,0.0625,0.0625,0.03125
2,0.0625,0.0625,0.03125,0.09375,0.0625,0.09375,0.03125,0.0625,0.0625,0.0625,0.03125,0.0625,0.0625,0.09375,0.03125,0.03125,0.03125,0.0625,0.0625,0.03125,0.0625,0.03125,0.0625,0.09375,0.03125,0.09375,0.03125,0.03125,0.0625,0,0.0625,0,0.0625,0.09375,0.03125,0.0625,0.03125,0.03125,0.0625,0.0625,0,0.03125,0.0625,0.09375,0.0625,0.03125,0.0625,0.09375,0.09375,0.03125
3,0.09375,0.0625,0.03125,0.09375,0.09375,0.125,0.0625,0.0625,0.0625,0.09375,0.03125,0.09375,0.09375,0.09375,0.0625,0.03125,0.0625,0.09375,0.0625,0.0625,0.0625,0.0625,0.09375,0.125,0.03125,0.125,0.03125,0.03125,0.0625,0,0.09375,0,0.0625,0.09375,0.0625,0.09375,0.03125,0.03125,0.0625,0.09375,0,0.0625,0.09375,0.09375,0.0625,0.03125,0.09375,0.125,0.09375,0.03125
4,0.125,0.09375,0.03125,0.125,0.125,0.125,0.0625,0.0625,0.09375,0.125,0.03125,0.125,0.125,0.09375,0.09375,0.03125,0.0625,0.09375,0.09375,0.09375,0.0625,0.09375,0.09375,0.15625,0.03125,0.125,0.03125,0.03125,0.09375,0.03125,0.09375,0,0.0625,0.09375,0.0625,0.09375,0.03125,0.03125,0.0625,0.125,0,0.09375,0.09375,0.09375,0.0625,0.0625,0.125,0.125,0.09375,0.03125
5,0.125,0.09375,0.03125,0.15625,0.15625,0.125,0.0625,0.0625,0.125,0.125,0.03125,0.15625,0.125,0.09375,0.09375,0.03125,0.09375,0.125,0.125,0.09375,0.0625,0.09375,0.09375,0.15625,0.03125,0.125,0.03125,0.03125,0.09375,0.0625,0.09375,0,0.0625,0.125,0.0625,0.09375,0.03125,0.0625,0.0625,0.15625,0,0.125,0.09375,0.09375,0.09375,0.0625,0.125,0.125,0.09375,0.03125
6,0.125,0.09375,0.03125,0.1875,0.1875,0.125,0.0625,0.0625,0.15625,0.125,0.03125,0.1875,0.125,0.09375,0.09375,0.0625,0.09375,0.125,0.125,0.09375,0.0625,0.09375,0.09375,0.15625,0.03125,0.125,0.0625,0.0625,0.09375,0.0625,0.09375,0.03125,0.0625,0.125,0.0625,0.125,0.03125,0.09375,0.0625,0.15625,0,0.125,0.09375,0.125,0.09375,0.0625,0.125,0.125,0.09375,0.03125
7,0.15625,0.125,0.03125,0.21875,0.21875,0.125,0.0625,0.0625,0.15625,0.125,0.0625,0.1875,0.125,0.125,0.09375,0.09375,0.09375,0.15625,0.125,0.09375,0.0625,0.09375,0.09375,0.15625,0.03125,0.125,0.0625,0.09375,0.09375,0.09375,0.09375,0.0625,0.0625,0.125,0.0625,0.15625,0.03125,0.09375,0.0625,0.15625,0,0.125,0.125,0.125,0.09375,0.0625,0.125,0.125,0.09375,0.03125
8,0.15625,0.125,0.03125,0.25,0.25,0.125,0.0625,0.0625,0.15625,0.125,0.0625,0.1875,0.125,0.125,0.09375,0.09375,0.09375,0.1875,0.125,0.09375,0.0625,0.09375,0.09375,0.15625,0.03125,0.125,0.09375,0.125,0.09375,0.09375,0.09375,0.0625,0.0625,0.125,0.0625,0.15625,0.03125,0.09375,0.0625,0.15625,0,0.125,0.125,0.125,0.09375,0.0625,0.125,0.125,0.09375,0.03125
9,0.15625,0.125,0.03125,0.28125,0.28125,0.125,0.09375,0.0625,0.15625,0.125,0.09375,0.1875,0.15625,0.125,0.09375,0.125,0.09375,0.1875,0.125,0.09375,0.0625,0.09375,0.09375,0.15625,0.03125,0.125,0.09375,0.125,0.09375,0.09375,0.09375,0.0625,0.0625,0.125,0.0625,0.15625,0.03125,0.09375,0.0625,0.15625,0,0.15625,0.125,0.125,0.09375,0.0625,0.125,0.125,0.09375,0.03125
10,0.1875,0.15625,0.03125,0.28125,0.3125,0.15625,0.125,0.0625,0.15625,0.125,0.125,0.1875,0.15625,0.125,0.09375,0.125,0.09375,0.1875,0.125,0.09375,0.0625,0.09375,0.09375,0.15625,0.0625,0.125,0.125,0.125,0.09375,0.09375,0.09375,0.0625,0.0625,0.125,0.0625,0.15625,0.03125,0.09375,0.0625,0.15625,0,0.15625,0.125,0.125,0.09375,0.0625,0.125,0.125,0.09375,0.03125
11,0.1875,0.15625,0.0625,0.3125,0.3125,0.1875,0.125,0.0625,0.15625,0.125,0.15625,0.21875,0.15625,0.125,0.09375,0.125,0.09375,0.1875,0.125,0.09375,0.0625,0.09375,0.09375,0.15625,0.09375,0.125,0.15625,0.125,0.09375,0.09375,0.125,0.0625,0.09375,0.125,0.0625,0.15625,0.03125,0.09375,0.0625,0.15625,0,0.15625,0.125,0.125,0.09375,0.0625,0.125,0.125,0.09375,0.03125
12,0.1875,0.15625,0.0625,0.34375,0.34375,0.1875,0.125,0.0625,0.15625,0.125,0.1875,0.21875,0.15625,0.125,0.09375,0.125,0.09375,0.1875,0.125,0.09375,0.0625,0.09375,0.09375,0.15625,0.125,0.125,0.15625,0.125,0.09375,0.09375,0.15625,0.0625,0.125,0.125,0.09375,0.15625,0.03125,0.09375,0.09375,0.15625,0.03125,0.15625,0.125,0.125,0.09375,0.0625,0.125,0.125,0.09375,0.03125
13,0.21875,0.15625,0.09375,0.375,0.375,0.1875,0.125,0.09375,0.15625,0.125,0.1875,0.21875,0.15625,0.125,0.09375,0.125,0.09375,0.1875,0.125,0.09375,0.09375,0.125,0.09375,0.1875,0.125,0.125,0.15625,0.125,0.09375,0.09375,0.15625,0.0625,0.15625,0.125,0.09375,0.15625,0.03125,0.09375,0.125,0.15625,0.0625,0.15625,0.125,0.125,0.09375,0.0625,0.125,0.125,0.09375,0.03125
